Date,SLV,GLD
2011-11-15,,
2011-11-16,-2.527210310071495,-1.0728818205276822
2011-11-17,-6.873177342663057,-2.6049073283180006
2011-11-18,2.4501580678893413,0.3107011333393406
2011-11-21,-2.059274827676434,-2.488649250407554
2011-11-22,3.607730502673001,1.1009496629131115
2011-11-23,-3.056586296719513,-0.29078350894610117
2011-11-25,-2.3884629203572034,-0.8713506170782573
2011-11-28,3.4817213976343684,1.957466985093773
2011-11-29,-0.7704660782584407,0.14992056569778486
2011-11-30,3.0781392112561066,1.92878588692254
2011-12-01,-0.4384566930505036,-0.2943256099787248
2011-12-02,-0.6613187279036356,0.11194698077826068
2011-12-05,-1.9139372416817055,-1.4830905381332224
2011-12-06,2.7947230553322604,0.5126604372679753
2011-12-07,-1.0072448863606358,0.7227954016147667
2011-12-08,-2.921087069664334,-2.039547172781449
2011-12-09,2.0313417797659485,0.252721725840265
2011-12-12,-2.7177343963936966,-2.6859856531266253
2011-12-13,-2.2219451663571013,-2.209556859463683
2011-12-14,-6.047791896280119,-3.5720365171640003
2011-12-15,0.5329520615015242,-0.3669468753872328
2011-12-16,2.207908196530224,1.8858628992136977
2011-12-19,-3.1335111353878906,-0.23218392271966948
2011-12-20,2.8558295963226796,1.353236017477422
2011-12-21,-0.5926459737649519,0.11460369243132092
2011-12-22,-0.8426980900949947,-0.7152080363865259
2011-12-23,-0.28248605358068163,0.17288623341308684
2011-12-27,-1.460399901431864,-0.8996873172577234
2011-12-28,-5.912327367728318,-2.5365842982666695
2011-12-29,2.9998499928761313,-0.4579116814085494
2011-12-30,-0.4813895524467796,1.0915392962306827
2012-01-03,6.78043035485687,2.5528280266944154
2012-01-04,-1.537957638910186,0.5053965831405584
2012-01-05,0.4217967663371844,0.6804643125384793
2012-01-06,-2.126985537634984,-0.36827904178681414
2012-01-09,0.7851539404298296,-0.44628509309286085
2012-01-10,3.218186192198251,1.3581467927752002
2012-01-11,0.3093317575456576,0.6471694917815233
2012-01-12,0.581695415478374,0.4436857729064018
2012-01-13,-1.685913003337602,-0.7007975120743845
2012-01-17,1.2756628552954354,0.7755887135975092
2012-01-18,1.5635906319404078,0.683024064563666
2012-01-19,0.3030815588274458,-0.23542851575479892
2012-01-20,4.856594202452699,0.5258485803081779
2012-01-23,0.5430455940046363,0.6702955103929062
2012-01-24,-0.9924813497135612,-0.707330810513615
2012-01-25,4.066751154590379,2.6856670594463417
2012-01-26,0.1851883273876068,0.5094595782853121
2012-01-27,1.6210754382238137,1.0111893053418135
2012-01-30,-1.3131964957059883,-0.5578661352236227
2012-01-31,-0.7714897321591794,0.7588813388956611
2012-02-01,1.5065650287910253,0.14754923617125085
2012-02-02,1.7844144755841531,0.874909427314324
2012-02-03,-2.0288417320840693,-2.0137111870637656
2012-02-06,-0.030592015392206448,-0.27477826917352743
2012-02-07,1.759214364068679,1.496112016195268
2012-02-08,-0.6636434713368089,-0.7096404769508299
2012-02-09,-0.4246260357522814,-0.2852706049025983
2012-02-10,-1.1925045765318212,-0.5251265153108763
2012-02-13,0.7355289284981142,0.2211242536348743
2012-02-14,-0.6432829558961991,-0.23309337969420738
2012-02-15,-0.2769658555559307,0.5906445663764884
2012-02-16,0.369114532140267,-0.06545535901945454
2012-02-17,-0.8943806865328984,-0.3876515892921211
2012-02-21,3.3509135768934146,2.169306860654856
2012-02-22,0.1795810120446832,1.1164192980102257
2012-02-23,2.830386420669175,0.04624927739540564
2012-02-24,-0.08725607522848705,-0.45764482480453217
2012-02-27,-0.029093554693777564,-0.30820191918030454
2012-02-28,4.189246091634363,1.0371239227246742
2012-02-29,-6.574875352457581,-5.448687334768092
2012-03-01,2.618181691209392,1.402264163235793
2012-03-02,-1.9942040037476412,-0.16218955496092696
2012-03-05,-2.186040135885794,-0.41567698684524407
2012-03-06,-3.136791762589566,-1.7969096738808994
2012-03-07,1.241872565216096,0.5699816211400249
2012-03-08,1.3484666894361095,1.0033187323441985
2012-03-09,1.120045023967938,0.6633359586440536
2012-03-12,-1.791999303562343,-0.7904690141729568
2012-03-13,-1.1404130551092173,-1.692317576086687
2012-03-14,-3.11688392310309,-1.6963751714603805
2012-03-15,0.8280333803045252,0.941840710921423
2012-03-16,0.19011095411986867,0.13648553306031022
2012-03-19,1.22700925918144,0.1796234500102032
2012-03-20,-2.6296462172346127,-0.9076221671134268
2012-03-21,0.19242790082129224,0.04994817922607192
2012-03-22,-2.170119170724688,-0.40027570610456903
2012-03-23,2.2661992437057044,1.2208136444636353
2012-03-26,2.2159849124084445,1.7611568390862193
2012-03-27,-1.1018559281575804,-0.7080904958376383
2012-03-28,-1.4026369580531768,-1.0654511874766128
2012-03-29,0.6400021845467725,-0.1425050609978946
2012-03-30,0.09564483585249338,0.5194792236148209
2012-04-02,2.112643672797581,0.504527623819721
2012-04-03,-1.2559003575245375,-1.8895974613923432
2012-04-04,-4.260082688969544,-1.6903536813177653
2012-04-05,1.277655402689791,0.6972587722394041
2012-04-09,-0.42407175645754935,0.6673388045763085
2012-04-10,0.6516836251673789,1.0796815928867523
2012-04-11,-0.45573320322654665,-0.018623086492355334
2012-04-12,2.4811970445254885,1.0068899224195003
2012-04-13,-2.8079979943095603,-1.1435704799278725
2012-04-16,0.03272786914265076,-0.2427557036780101
2012-04-17,0.7822725936189714,-0.13096381493091339
2012-04-18,-0.5208345276681509,-0.5883118770115697
2012-04-19,0.5208345276681476,0.07529334821926283
2012-04-20,-0.16246632594689245,0.06897200939820128
2012-04-23,-2.569314629065554,-0.2950229690786525
